id,name,url
1508,Ballettmeister/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=1508
5344,Ballonpilot/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=5344
4603,Bankett-Manager/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=4603
2102,Bankmetzger/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2102
6928,Bankwirtschafter/in HF,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=6928
9999,Barista,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=9999
8121,Barkeeper/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8121
661,Bauarbeiter/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=661
3034,Baubiologe/-login BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3034
3130,Bäuerlicher Haushaltleiter/Bäuerin BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3130
3144,Bäuerlicher Haushaltleiter/Bäuerin HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3144
3630,Bauführer/in Gebäudehülle BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3630
12108,Bauführer/in im Bauhauptgewerbe HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=12108
11783,Bauherrenvertreter/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=11783
3676,Bauingenieur/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3676
606,Bauinspektor/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=606
7781,Baukontrolleur/-kontrolleurin,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7781
11258,Bauleiter/in HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=11258
3825,Baumaschinenführer/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3825
3035,Baumaschinenmechaniker/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3035
4023,Baumaschinenmechanikermeister/in HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=4023
3638,Baumeister/in HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3638
3683,Baumpflegespezialist/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3683
4745,Bauökonom/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=4745
4661,Bauphysiker/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=4661
2923,Baupolier/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2923
7758,Bauprojekt- und Immobilienmanager/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7758
2989,Baustellenleiter/in (Malergewerbe),https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2989
200,Baustellenleiter/in Sanitärtechnik/Heiztechnik/Lufttechnik/Spenglertechnik,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=200
3036,Baustoffprüfer/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3036
5289,Bautenschutz-Fachmann/-frau BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=5289
